@relation senercon

@attribute num_verbs numeric
@attribute contain_modal numeric
@attribute num_nouns numeric
@attribute num_pos_nouns numeric
@attribute pos_nouns_score real
@attribute num_neg_nouns numeric
@attribute neg_nouns_score real
@attribute num_pos_adj numeric
@attribute pos_score real
@attribute num_neg_adj numeric
@attribute neg_score real
@attribute num_adj numeric
@attribute sent_length numeric
@attribute num_question_marks numeric
@attribute num_exclamation_marks numeric
@attribute num_slash numeric
@attribute num_underscore numeric
@attribute num_hash numeric
@attribute num_currency numeric
@attribute num_percentage numeric
@attribute num_brackets_type1 numeric
@attribute num_brackets_type2 numeric
@attribute num_assertive_verbs numeric
@attribute num_requestive_verbs numeric
@attribute num_responsive_verbs numeric
@attribute num_informative_verbs numeric
@attribute num_assertive_expressions numeric
@attribute num_confirmative_expressions numeric
@attribute num_concessive_expressions numeric
@attribute num_requestive_expressions numeric
@attribute num_requirement_expressions numeric
@attribute num_question_expressions numeric
@attribute num_responsive_expressions numeric
@attribute num_suggestive_expressions numeric
@attribute num_suppositive_expressions numeric
@attribute num_attach_expressions numeric
@attribute num_code_expressions numeric
@attribute num_descriptive_expressions numeric
@attribute num_logFile_expressions numeric
@attribute num_urlLink_expressions numeric
@attribute num_sentences numeric
@attribute overall_sentiment real
@attribute @@class@@ {OTHER,ENHANCEMENT}


@data
3.0,1.0,2.0,2.0,0.12803143205527706,0.0,0.0,3.0,1.2455102040816328,1.0,-0.16666666666666666,0.0,280.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,-6.0, OTHER 
0.0,0.0,4.0,4.0,0.20674610552312428,0.0,0.0,1.0,0.25,1.0,-0.1193189788189087,1.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0, OTHER 
2.0,2.0,3.0,1.0,0.06401571602763853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0, OTHER 
3.0,1.0,10.0,1.0,0.010948905109489052,0.0,0.0,2.0,0.9450000000000002,1.0,-0.18181818181818182,0.0,359.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-4.0, OTHER 
3.0,2.0,2.0,1.0,0.06401571602763853,1.0,-0.3551423324150597,1.0,0.12741157076130974,0.0,0.0,0.0,233.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0, OTHER 
9.0,3.0,4.0,5.0,0.2073283858998145,1.0,-0.11826402742769769,1.0,0.27272727272727276,1.0,-0.25856157062041385,1.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0, OTHER 
1.0,0.0,2.0,2.0,0.07688611654702905,0.0,0.0,1.0,0.09090909090909093,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-4.0, OTHER 
2.0,1.0,5.0,7.0,0.37588303303063,2.0,-0.05281883217077494,1.0,0.6337632198238539,1.0,-0.1193189788189087,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0, OTHER 
3.0,2.0,6.0,3.0,0.08720535217453916,1.0,-0.06000000000000001,1.0,0.12741157076130974,1.0,-0.07314388294269067,1.0,210.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0, OTHER 
2.0,2.0,4.0,6.0,0.401911627026969,0.0,0.0,1.0,0.03193430656934306,1.0,-0.020339458549586197,0.0,228.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0, OTHER 
